"Date","Cash"
"2010-05-01",68.35
"2010-05-02",74.19
"2010-05-03",11.09
"2010-05-04",2.14
"2010-05-05",101.6
"2010-05-06",92.38
"2010-05-07",68.98
"2010-05-08",68.35
"2010-05-09",74.19
"2010-05-10",11.09
"2010-05-11",2.14
"2010-05-12",101.6
"2010-05-13",92.38
"2010-05-14",68.98
"2010-05-15",68.35
"2010-05-16",74.19
"2010-05-17",11.09
"2010-05-18",2.14
"2010-05-19",101.6
"2010-05-20",92.38
"2010-05-21",68.98
"2010-05-22",68.35
"2010-05-23",74.19
"2010-05-24",11.09
"2010-05-25",2.14
"2010-05-26",101.6
"2010-05-27",92.38
"2010-05-28",68.98
"2010-05-29",68.35
"2010-05-30",74.19
