"DATE","KWH Forecast"
"2014 Jan",9039.732988845648
"2014 Feb",8098.820733047851
"2014 Mar",7089.264662801342
"2014 Apr",6405.892134947209
"2014 May",6155.882203093066
"2014 Jun",7622.841102942063
"2014 Jul",8871.032811622255
"2014 Aug",9395.556068956528
"2014 Sep",8757.208172248438
"2014 Oct",6798.996690376322
"2014 Nov",6048.011195176732
"2014 Dec",7325.488921816183
